title_id,title,institution,place,start_date,end_date,details
3,Dissertation,\href{https://www.bio.tu-darmstadt.de/index.en.jsp}{Darmstadt University of Technology - Biology Department},"Darmstadt, Germany",2006,2010,"Thesis Title: \href{http://bit.ly/bcr-PhDThesis}{Allometry, Temperature and the Stability of Food Webs}"
2,Diploma Thesis,,,2005,2006,Thesis Title: Temperature and Enrichment Effects on Simple Consumer Resource Pairs and Complex Food Web Models
1,Studying Biology,,,1999,2006,"Majors: Animal Ecology, Animal Physiology, and Phylogeny"
